RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,HpPlusM,Ph,Yvalue
-82.861,-82.956,-82.921,-82.907,-82.869,-0.007999999999995566,1.0000965472296979,-82.861,-82.958,-82.92500000000001,-82.913,1.0006275569930365
-82.821,-82.91,-83.002,-82.879,-83.06,-0.23900000000000432,1.0028857415389818,-82.821,-82.96975,-83.1215,-83.05825000000002,1.0028646116323157
-82.999,-82.937,-82.808,-82.889,-82.912,0.08699999999998909,0.9989517945999351,-82.999,-82.91525,-82.76450000000001,-82.82375,0.9978885287774553
-82.999,-82.99,-82.788,-83.009,-82.949,0.04999999999999716,0.9993975831034109,-82.999,-82.97749999999999,-82.763,-82.9715,0.9996686707068762
-82.993,-82.865,-82.907,-82.914,-82.817,0.17600000000000193,0.9978793392213801,-82.993,-82.821,-82.81899999999999,-82.782,0.99745761690745
-82.919,-82.893,-82.877,-82.984,-82.763,0.1559999999999917,0.9981186459074519,-82.919,-82.854,-82.799,-82.867,0.9993728819691508
-82.793,-82.937,-82.9,-82.919,-82.95,-0.15699999999999648,1.0018962955805442,-82.793,-82.97625,-82.9785,-83.03675,1.0029440894761634
-82.832,-82.829,-82.944,-82.859,-82.864,-0.03200000000001069,1.0003863241259419,-82.832,-82.83699999999999,-82.96000000000001,-82.88300000000001,1.0006157040757198
-82.971,-82.863,-82.946,-82.886,-82.859,0.11200000000000898,0.9986501307685817,-82.971,-82.835,-82.88999999999999,-82.80199999999999,0.9979631437490206
-82.866,-82.954,-82.927,-82.878,-82.878,-0.012000000000000455,1.0001448121062921,-82.866,-82.957,-82.933,-82.887,1.0002534211860112
-82.899,-82.945,-82.888,-82.823,-82.874,0.025000000000005684,0.9996984282078191,-82.899,-82.93875,-82.8755,-82.80425,0.9988570429076346
-82.94,-82.957,-82.743,-82.949,-82.835,0.10500000000000398,0.9987340245960935,-82.94,-82.93074999999999,-82.69049999999999,-82.87025,0.9991590306245479
-82.927,-82.851,-82.818,-82.914,-82.903,0.02400000000000091,0.9997105888311406,-82.927,-82.845,-82.806,-82.896,0.9996261772402233
-82.993,-82.879,-82.879,-82.913,-82.9,0.09299999999998931,0.998879423565843,-82.993,-82.85575,-82.83250000000001,-82.84325000000001,0.9981956309568278
-82.885,-82.982,-82.881,-82.956,-82.89,-0.0049999999999954525,1.0000603245460578,-82.885,-82.98325,-82.8835,-82.95975,1.000901851963564
-82.818,-82.762,-83.011,-82.846,-82.931,-0.11299999999999955,1.0013644376826294,-82.818,-82.79025,-83.0675,-82.93075,1.00136141901519
-83.02,-82.764,-82.807,-82.869,-82.887,0.13299999999999557,0.9983979763912311,-83.02,-82.73075,-82.7405,-82.76925,0.9969796434594074
-82.939,-82.982,-82.797,-83.009,-82.977,-0.038000000000010914,1.0004581680512186,-82.939,-82.9915,-82.816,-83.03750000000001,1.001187619816974
-82.882,-82.877,-82.996,-82.923,-82.909,-0.027000000000001023,1.0003257643396637,-82.882,-82.88374999999999,-83.0095,-82.94325,1.0007390024371998
-82.953,-82.936,-82.904,-82.922,-82.896,0.05700000000000216,0.9993128639108892,-82.953,-82.92175,-82.87549999999999,-82.87925,0.9991109423408435
-82.937,-82.961,-82.946,-82.971,-82.929,0.007999999999995566,0.9999035412421478,-82.937,-82.959,-82.94200000000001,-82.965,1.0003376056524833
-82.917,-82.907,-82.973,-82.951,-82.927,-0.010000000000005116,1.0001206025302412,-82.917,-82.9095,-82.97800000000001,-82.9585,1.0005005005005005
-82.936,-82.923,-82.926,-82.949,-82.93,0.006000000000000227,0.9999276550593228,-82.936,-82.92150000000001,-82.923,-82.9445,1.0001024886659593
-82.906,-82.833,-82.949,-82.873,-83.03,-0.12399999999999523,1.0014956697947073,-82.906,-82.864,-83.011,-82.96600000000001,1.0007237111909875
-82.945,-82.843,-82.869,-82.854,-82.869,0.0759999999999934,0.9990837301826513,-82.945,-82.82400000000001,-82.831,-82.797,0.9982156850925312
-82.907,-82.97,-82.883,-82.958,-82.86,0.046999999999997044,0.999433099738261,-82.907,-82.95824999999999,-82.8595,-82.92275000000001,1.0001899718962213
-82.84,-82.918,-82.86,-82.876,-82.892,-0.0519999999999925,1.0006277160791888,-82.84,-82.93100000000001,-82.886,-82.91499999999999,1.0009053597295992
-82.875,-82.936,-82.934,-82.842,-82.813,0.06199999999999761,0.9992518853695325,-82.875,-82.9205,-82.90299999999999,-82.7955,0.9990407239819005
-82.886,-82.993,-82.926,-83.011,-82.905,-0.019000000000005457,1.0002292305093743,-82.886,-82.99775,-82.9355,-83.02525,1.001680018338441
-82.839,-82.84,-82.964,-82.915,-82.922,-0.08299999999999841,1.001001943529014,-82.839,-82.86075,-83.0055,-82.97725,1.0016688999142915
-82.961,-82.903,-82.829,-82.921,-82.951,0.010000000000005116,0.9998794614336857,-82.961,-82.90050000000001,-82.82399999999998,-82.9135,0.9994274418100071
-82.886,-82.984,-82.857,-82.991,-83.01,-0.12400000000000944,1.001496030692759,-82.886,-83.015,-82.91900000000001,-83.084,1.0023888232029536
-82.894,-82.926,-82.928,-82.792,-82.84,0.054000000000002046,0.9993485656380438,-82.894,-82.9125,-82.901,-82.7515,0.9982809371003931
-83.042,-82.981,-82.83,-82.792,-82.845,0.19700000000000273,0.9976277064617903,-83.042,-82.93175,-82.7315,-82.64425,0.9952102550516606
-82.883,-82.936,-82.902,-82.913,-82.995,-0.11200000000000898,1.0013513024383771,-82.883,-82.96400000000001,-82.958,-82.997,1.0013754328390623
-82.87,-82.938,-82.939,-82.903,-82.875,-0.0049999999999954525,1.0000603354651865,-82.87,-82.93925,-82.94149999999999,-82.90675,1.0004434656691203
-83.019,-82.954,-82.873,-82.953,-82.895,0.12400000000000944,0.9985063660125995,-83.019,-82.92299999999999,-82.811,-82.86,0.9980847757742203
