RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,PhPlusM,Ph,Yvalue
-82874,-82885,-82815,-82889,-82817,6.816220976832615e-14,1.013211242412735,5.159409511903313e-12,5.163398622579341e-12,5.2640607667057264e-12,5.192741938680601e-12,1.0064605119443197
-82865,-82902,-83011,-82881,-82.86,5.9557398191338e-15,1.0011519555381703,5.170112579686547e-12,5.127741504657614e-12,5.002171980159567e-12,5.1555670294594235e-12,0.9971866086080459
-82827,-82892,-82822,-82876,-82954,-1.5030896483992452e-13,0.9711806033832955,5.215548640348755e-12,5.100492561113474e-12,5.146402238069639e-12,5.044302339396501e-12,0.9671661961643976
-82855,-82938,-82849,-82.81,-82878,-2.737121223988038e-14,0.9947180530834234,5.1820309200722626e-12,5.0770923221848744e-12,5.175509501947353e-12,5.215475956677585e-12,1.0064540403407813
-82879,-82835,-82.96,-82844,-82897,-2.1315155468468594e-14,0.9958639240535909,5.1534729402090286e-12,5.200621299148366e-12,5.0475890422969134e-12,5.179186463509325e-12,1.0049895524044905
-82847,-82.78,-82878,-82848,-82924,-9.123513146909718e-14,0.9824263447582666,5.191585371063555e-12,5.249489831360948e-12,5.109042142097834e-12,5.121963753368992e-12,0.986589526566853
-82854,-82841,-82871,-82781,-82851,3.581681403796859e-15,1.0006910141682572,5.183224264170624e-12,5.1996581884938e-12,5.1647655776778004e-12,5.273771023416803e-12,1.0174691957421347
-82937,-82842,-82794,-82.85,-82842,1.1245996723256169e-13,1.0221155606000702,5.0851058793510516e-12,5.225680838391753e-12,5.311560079885502e-12,5.272345364714031e-12,1.036821157672114
-82856,-82793,-82782,-82.89,-82905,-5.812514807455325e-14,0.9887807436269259,5.1808378507199435e-12,5.242009033051219e-12,5.240808615929955e-12,5.096842654768349e-12,0.983787333560358
-82798,-82912,-82904,-82831,-82842,-5.292614016401236e-14,0.989919775080583,5.250491986747626e-12,5.1012309809220455e-12,5.097429316564789e-12,5.171052548910904e-12,0.984870096357212
-82875,-82879,-82814,-82932,-82863,1.4272402106866452e-14,1.0027669229965845,5.158221650723061e-12,5.157041040735745e-12,5.23832024885033e-12,5.101667996811081e-12,0.9890362109770812
-82905,-82895,-82809,-82715,-82854,6.05115615252341e-14,1.0118124058555902,5.12271270264539e-12,5.149649665410972e-12,5.267465919994561e-12,5.397185208856797e-12,1.0535795236124932
-82904,-82923,-82884,-82682,-82849,6.530272142049757e-14,1.0127447488145302,5.1238923866467956e-12,5.1178504542107176e-12,5.180194560022881e-12,5.4415992999810776e-12,1.0620049933449514
-82873,-82836,-82767,-82901,-83031,-1.8437274689551394e-13,0.9642729855105239,5.1605976466302034e-12,5.1586583249813464e-12,5.195917775865306e-12,4.9891535087109805e-12,0.96677823971974
-82.81,-82961,-82794,-82847,-82966,-1.847411467115432e-13,0.9647171518961696,5.236004365857495e-12,5.010896763108118e-12,5.16295952291345e-12,5.053029511029898e-12,0.9650544877271829
-82854,-82818,-82967,-82825,-82913,-6.993926115097624e-14,0.986506611023097,5.183224264170624e-12,5.208883352081615e-12,5.015130626127684e-12,5.165496596526783e-12,0.9965797992252844
-82923,-82773,-82799,-83009,-82929,-7.043150581152682e-15,0.9986194028465278,5.101524773855593e-12,5.2790426201319476e-12,5.2457615801762585e-12,4.996214491466918e-12,0.9793570967393177
-82.84,-82915,-82887,-82838,-82829,1.3187379064662099e-14,1.0025360539605255,5.1999599653351514e-12,5.114227635140063e-12,5.150582319820057e-12,5.212245721171543e-12,1.0023626635432374
-82834,-82874,-82918,-82838,-82884,-5.960574102727983e-14,0.9885530946569412,5.207148940339911e-12,5.144508076646493e-12,5.077598633058309e-12,5.157650881102586e-12,0.9904942109771698
-82865,-82821,-82833,-82924,-82833,3.823548905552553e-14,1.0073954848112503,5.170112579686547e-12,5.2323180390515955e-12,5.227465813269835e-12,5.129026856386102e-12,0.9920532246315349
